academic_year,year_start,term,date,day_of_week
2024–2025,2024,Spring,2024-01-31,Wednesday
2024–2025,2024,Spring,2024-02-01,Thursday
2024–2025,2024,Spring,2024-02-02,Friday
2024–2025,2024,Spring,2024-02-05,Monday
2024–2025,2024,Spring,2024-02-06,Tuesday
2024–2025,2024,Spring,2024-02-07,Wednesday
2024–2025,2024,Spring,2024-02-08,Thursday
2024–2025,2024,Spring,2024-02-09,Friday
2024–2025,2024,Spring,2024-02-12,Monday
2024–2025,2024,Spring,2024-02-13,Tuesday
2024–2025,2024,Spring,2024-02-14,Wednesday
2024–2025,2024,Spring,2024-02-15,Thursday
2024–2025,2024,Spring,2024-02-16,Friday
2024–2025,2024,Spring,2024-02-19,Monday
2024–2025,2024,Spring,2024-02-20,Tuesday
2024–2025,2024,Spring,2024-02-21,Wednesday
2024–2025,2024,Spring,2024-02-22,Thursday
2024–2025,2024,Spring,2024-02-23,Friday
2024–2025,2024,Spring,2024-02-26,Monday
2024–2025,2024,Spring,2024-02-27,Tuesday
2024–2025,2024,Spring,2024-02-28,Wednesday
2024–2025,2024,Spring,2024-02-29,Thursday
2024–2025,2024,Spring,2024-03-01,Friday
2024–2025,2024,Spring,2024-03-04,Monday
2024–2025,2024,Spring,2024-03-05,Tuesday
2024–2025,2024,Spring,2024-03-06,Wednesday
2024–2025,2024,Spring,2024-03-07,Thursday
2024–2025,2024,Spring,2024-03-08,Friday
2024–2025,2024,Spring,2024-03-11,Monday
2024–2025,2024,Spring,2024-03-12,Tuesday
2024–2025,2024,Spring,2024-03-13,Wednesday
2024–2025,2024,Spring,2024-03-14,Thursday
2024–2025,2024,Spring,2024-03-15,Friday
2024–2025,2024,Spring,2024-03-18,Monday
2024–2025,2024,Spring,2024-03-19,Tuesday
2024–2025,2024,Spring,2024-03-20,Wednesday
2024–2025,2024,Spring,2024-03-21,Thursday
2024–2025,2024,Spring,2024-03-22,Friday
2024–2025,2024,Spring,2024-03-25,Monday
2024–2025,2024,Spring,2024-03-26,Tuesday
2024–2025,2024,Spring,2024-03-27,Wednesday
2024–2025,2024,Spring,2024-03-28,Thursday
2024–2025,2024,Spring,2024-03-29,Friday
2024–2025,2024,Summer,2024-04-01,Monday
2024–2025,2024,Summer,2024-04-02,Tuesday
2024–2025,2024,Summer,2024-04-03,Wednesday
2024–2025,2024,Summer,2024-04-04,Thursday
2024–2025,2024,Summer,2024-04-05,Friday
2024–2025,2024,Summer,2024-04-08,Monday
2024–2025,2024,Summer,2024-04-09,Tuesday
2024–2025,2024,Summer,2024-04-10,Wednesday
2024–2025,2024,Summer,2024-04-11,Thursday
2024–2025,2024,Summer,2024-04-12,Friday
2024–2025,2024,Summer,2024-04-15,Monday
2024–2025,2024,Summer,2024-04-16,Tuesday
2024–2025,2024,Summer,2024-04-17,Wednesday
2024–2025,2024,Summer,2024-04-18,Thursday
2024–2025,2024,Summer,2024-04-19,Friday
2024–2025,2024,Summer,2024-04-22,Monday
2024–2025,2024,Summer,2024-04-23,Tuesday
2024–2025,2024,Summer,2024-04-24,Wednesday
2024–2025,2024,Summer,2024-04-25,Thursday
2024–2025,2024,Summer,2024-04-26,Friday
2024–2025,2024,Summer,2024-04-29,Monday
2024–2025,2024,Summer,2024-04-30,Tuesday
2024–2025,2024,Summer,2024-05-01,Wednesday
2024–2025,2024,Summer,2024-05-02,Thursday
2024–2025,2024,Summer,2024-05-03,Friday
2024–2025,2024,Summer,2024-05-06,Monday
2024–2025,2024,Summer,2024-05-07,Tuesday
2024–2025,2024,Summer,2024-05-08,Wednesday
2024–2025,2024,Summer,2024-05-09,Thursday
2024–2025,2024,Summer,2024-05-10,Friday
2024–2025,2024,Summer,2024-05-13,Monday
2024–2025,2024,Summer,2024-05-14,Tuesday
2024–2025,2024,Summer,2024-05-15,Wednesday
2024–2025,2024,Summer,2024-05-16,Thursday
2024–2025,2024,Summer,2024-05-17,Friday
2024–2025,2024,Summer,2024-05-20,Monday
2024–2025,2024,Summer,2024-05-21,Tuesday
2024–2025,2024,Summer,2024-05-22,Wednesday
2024–2025,2024,Summer,2024-05-23,Thursday
2024–2025,2024,Summer,2024-05-24,Friday
2024–2025,2024,Summer,2024-05-27,Monday
2024–2025,2024,Summer,2024-05-28,Tuesday
2024–2025,2024,Summer,2024-05-29,Wednesday
2024–2025,2024,Summer,2024-05-30,Thursday
2024–2025,2024,Summer,2024-05-31,Friday
2024–2025,2024,Summer,2024-06-03,Monday
2024–2025,2024,Summer,2024-06-04,Tuesday
2024–2025,2024,Summer,2024-06-05,Wednesday
2024–2025,2024,Summer,2024-06-06,Thursday
2024–2025,2024,Summer,2024-06-07,Friday
2024–2025,2024,Summer,2024-06-10,Monday
2024–2025,2024,Summer,2024-06-11,Tuesday
2024–2025,2024,Summer,2024-06-12,Wednesday
2024–2025,2024,Summer,2024-06-13,Thursday
2024–2025,2024,Summer,2024-06-14,Friday
2024–2025,2024,Summer,2024-06-17,Monday
2024–2025,2024,Summer,2024-06-18,Tuesday
2024–2025,2024,Summer,2024-06-19,Wednesday
2024–2025,2024,Summer,2024-06-20,Thursday
2024–2025,2024,Summer,2024-06-21,Friday
2024–2025,2024,Summer,2024-06-24,Monday
2024–2025,2024,Summer,2024-06-25,Tuesday
2024–2025,2024,Summer,2024-06-26,Wednesday
2024–2025,2024,Summer,2024-06-27,Thursday
2024–2025,2024,Summer,2024-06-28,Friday
2024–2025,2024,Summer,2024-07-01,Monday
2024–2025,2024,Summer,2024-07-02,Tuesday
2024–2025,2024,Summer,2024-07-03,Wednesday
2024–2025,2024,Summer,2024-07-04,Thursday
2024–2025,2024,Summer,2024-07-05,Friday
2024–2025,2024,Summer,2024-07-08,Monday
2024–2025,2024,Summer,2024-07-09,Tuesday
2024–2025,2024,Summer,2024-07-10,Wednesday
2024–2025,2024,Summer,2024-07-11,Thursday
2024–2025,2024,Summer,2024-07-12,Friday
2024–2025,2024,Summer,2024-07-15,Monday
2024–2025,2024,Autumn,2024-09-02,Monday
2024–2025,2024,Autumn,2024-09-03,Tuesday
2024–2025,2024,Autumn,2024-09-04,Wednesday
2024–2025,2024,Autumn,2024-09-05,Thursday
2024–2025,2024,Autumn,2024-09-06,Friday
2024–2025,2024,Autumn,2024-09-09,Monday
2024–2025,2024,Autumn,2024-09-10,Tuesday
2024–2025,2024,Autumn,2024-09-11,Wednesday
2024–2025,2024,Autumn,2024-09-12,Thursday
2024–2025,2024,Autumn,2024-09-13,Friday
2024–2025,2024,Autumn,2024-09-16,Monday
2024–2025,2024,Autumn,2024-09-17,Tuesday
2024–2025,2024,Autumn,2024-09-18,Wednesday
2024–2025,2024,Autumn,2024-09-19,Thursday
2024–2025,2024,Autumn,2024-09-20,Friday
2024–2025,2024,Autumn,2024-09-23,Monday
2024–2025,2024,Autumn,2024-09-24,Tuesday
2024–2025,2024,Autumn,2024-09-25,Wednesday
2024–2025,2024,Autumn,2024-09-26,Thursday
2024–2025,2024,Autumn,2024-09-27,Friday
2024–2025,2024,Autumn,2024-09-30,Monday
2024–2025,2024,Autumn,2024-10-01,Tuesday
2024–2025,2024,Autumn,2024-10-02,Wednesday
2024–2025,2024,Autumn,2024-10-03,Thursday
2024–2025,2024,Autumn,2024-10-04,Friday
2024–2025,2024,Autumn,2024-10-07,Monday
2024–2025,2024,Autumn,2024-10-08,Tuesday
2024–2025,2024,Autumn,2024-10-09,Wednesday
2024–2025,2024,Autumn,2024-10-10,Thursday
2024–2025,2024,Autumn,2024-10-11,Friday
2024–2025,2024,Autumn,2024-10-14,Monday
2024–2025,2024,Autumn,2024-10-15,Tuesday
2024–2025,2024,Autumn,2024-10-16,Wednesday
2024–2025,2024,Autumn,2024-10-17,Thursday
2024–2025,2024,Autumn,2024-10-18,Friday
2024–2025,2024,Autumn,2024-10-21,Monday
2024–2025,2024,Autumn,2024-10-22,Tuesday
2024–2025,2024,Autumn,2024-10-23,Wednesday
2024–2025,2024,Autumn,2024-10-24,Thursday
2024–2025,2024,Autumn,2024-10-25,Friday
2024–2025,2024,Autumn,2024-10-28,Monday
2024–2025,2024,Autumn,2024-10-29,Tuesday
2024–2025,2024,Autumn,2024-10-30,Wednesday
2024–2025,2024,Autumn,2024-10-31,Thursday
2024–2025,2024,Autumn,2024-11-01,Friday
2024–2025,2024,Autumn,2024-11-04,Monday
2024–2025,2024,Autumn,2024-11-05,Tuesday
2024–2025,2024,Autumn,2024-11-06,Wednesday
2024–2025,2024,Autumn,2024-11-07,Thursday
2024–2025,2024,Autumn,2024-11-08,Friday
2024–2025,2024,Autumn,2024-11-11,Monday
2024–2025,2024,Autumn,2024-11-12,Tuesday
2024–2025,2024,Autumn,2024-11-13,Wednesday
2024–2025,2024,Autumn,2024-11-14,Thursday
2024–2025,2024,Autumn,2024-11-15,Friday
2024–2025,2024,Autumn,2024-11-18,Monday
2024–2025,2024,Autumn,2024-11-19,Tuesday
2024–2025,2024,Autumn,2024-11-20,Wednesday
2024–2025,2024,Autumn,2024-11-21,Thursday
2024–2025,2024,Autumn,2024-11-22,Friday
2024–2025,2024,Autumn,2024-11-25,Monday
2024–2025,2024,Autumn,2024-11-26,Tuesday
2024–2025,2024,Autumn,2024-11-27,Wednesday
2024–2025,2024,Autumn,2024-11-28,Thursday
2024–2025,2024,Autumn,2024-11-29,Friday
2024–2025,2024,Autumn,2024-12-02,Monday
2024–2025,2024,Autumn,2024-12-03,Tuesday
2024–2025,2024,Autumn,2024-12-04,Wednesday
2024–2025,2024,Autumn,2024-12-05,Thursday
2024–2025,2024,Autumn,2024-12-06,Friday
2024–2025,2024,Autumn,2024-12-09,Monday
2024–2025,2024,Autumn,2024-12-10,Tuesday
2024–2025,2024,Autumn,2024-12-11,Wednesday
2024–2025,2024,Autumn,2024-12-12,Thursday
2024–2025,2024,Autumn,2024-12-13,Friday
